Category,Description,Carbohydrate,Cholesterol,Choline,Fiber,Kilocalories,Protein,Sugar Total,Water,Monosaturated Fat,Polysaturated Fat,Saturated Fat,Total Lipid
LOMA LINDA VEGE-BURGER,"LOMA LINDA VEGE-BURGER,CND,UNPREP",3.72,0,0,2.599999905,115,22.22,0.850000024,71.96,0.2,0.73,0.23,1.24
LONGANS,"LONGANS,RAW",15.14,0,0,1.100000024,60,1.31,0.0,82.75,0.0,0.0,0.0,0.1
LOQUATS,"LOQUATS,RAW",12.14,0,0,1.700000048,47,0.43,0.0,86.73,0.008,0.091,0.04,0.2
LOTUS ROOT,"LOTUS ROOT,CKD,BLD,DRND,W/SALT",16.02,0,25,3.099999905,66,1.58,0.0,81.42,0.014,0.014,0.021,0.07
LOTUS SEEDS,"LOTUS SEEDS,RAW",17.28,0,0,0.0,89,4.13,0.0,77.0,0.104,0.312,0.088,0.53
LOUIS RICH,"LOUIS RICH,CHICK BREAST CLASSIC BKD /GRILL (CARVING BOARD)",3.7,52,0,0.0,98,19.7,0.699999988,72.9,0.177,0.081,0.162,0.5
LUNCHEON MEAT,"LUNCHEON MEAT,BF,THIN SLICED",2.59,48,53,0.0,117,17.94,0.0,72.53,1.289,0.089,1.101,3.4
LUNCHEON SAUSAGE,"LUNCHEON SAUSAGE,PORK&BF",1.58,64,0,0.0,260,15.38,0.0,58.62,9.93,2.05,7.62,20.9
LUNCHEON SLICES,"LUNCHEON SLICES,MEATLESS",4.44,0,105,0.0,189,17.78,2.220000029,65.01,2.055,4.383,1.338,11.11
LUPINS,"LUPINS,MATURE SEEDS,CKD,BLD,WO/ SALT",9.88,0,0,2.799999952,119,15.57,0.0,71.08,1.18,0.73,0.346,2.92
LUXURY LOAF,"LUXURY LOAF,PORK",4.9,36,0,0.0,141,18.4,0.0,68.2,2.33,0.51,1.58,4.8
MACADAMIA NUTS,"MACADAMIA NUTS,DRY RSTD,WO/SALT",13.38,0,45,8.0,718,7.79,4.139999866,1.61,59.275,1.498,11.947,76.08
MACARONI,"MACARONI,VEG,CKD,ENR",26.61,0,5,4.300000191,128,4.53,1.149999976,68.37,0.012,0.044,0.016,0.11
MACE,"MACE,GROUND",50.5,0,0,20.20000076,475,6.71,0.0,8.17,11.17,4.39,9.51,32.38
MACKEREL,"MACKEREL,KING,RAW",0.0,53,0,0.0,105,20.28,0.0,75.85,0.764,0.46,0.363,2.0
MALABAR SPINACH,"MALABAR SPINACH,COOKED",2.71,0,0,2.099999905,23,2.98,0.0,92.5,0.0,0.0,0.0,0.78
MALTED DRK MIX,"MALTED DRK MIX,NAT,W/ ADDED NUTR,PDR",83.59,0,32,1.899999976,372,9.41,63.38000107,3.1,0.343,0.169,0.679,1.33
